User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_330,Few-shot Learning,10,9,Incorrect weight initialization,LOW,Reading & Notes,No
user_787,Zero-shot Learning,4,4,Confused reinforcement learning reward shaping,MEDIUM,Hands-on Coding,No
user_303,Few-shot Learning,1,1,None,LOW,Video,No
user_834,Few-shot Learning,7,5,None,MEDIUM,Video,No
user_250,Backpropagation,4,3,Confused convolutional filters,HIGH,Video,Yes
user_238,Backpropagation,9,7,None,MEDIUM,Video,No
user_122,Autoencoders,3,3,None,HIGH,Peer Discussion,No
user_844,Multi-modal Learning,4,3,None,LOW,Video,No
user_090,CNNs,9,8,Incorrect embedding interpretation,LOW,Video,No
user_170,Attention Mechanisms,1,1,None,LOW,Hands-on Coding,No
user_450,Self-supervised Learning,4,3,None,LOW,Reading & Notes,No
user_243,RNNs,1,1,Incorrect embedding interpretation,MEDIUM,Peer Discussion,No
user_467,Word Embeddings,5,3,None,HIGH,Reading & Notes,Yes
user_722,Transformers,8,8,None,HIGH,Video,Yes
user_220,Zero-shot Learning,4,3,None,LOW,Reading & Notes,No
user_250,CNNs,9,7,None,MEDIUM,Video,No
user_329,LLMs in Real-World Applications,10,10,Misused activation function,HIGH,Video,No
user_343,LLMs in Real-World Applications,10,10,None,HIGH,Peer Discussion,Yes
user_425,GANs,10,9,Confused convolutional filters,LOW,Peer Discussion,No
user_084,Autoencoders,9,7,None,LOW,Peer Discussion,No
user_244,Autoencoders,3,3,Misused dropout layers,HIGH,Hands-on Coding,No
user_786,GANs,4,2,Misused activation function,LOW,Video,No
user_107,Backpropagation,4,2,Confused batch vs. stochastic gradient descent,LOW,Peer Discussion,No
user_141,Reinforcement Learning,1,1,Misused dropout layers,LOW,Video,No
user_679,Few-shot Learning,3,1,Misunderstood positional encoding in transformers,MEDIUM,Video,No
user_212,Gradient Descent,3,3,Incorrect embedding interpretation,HIGH,Hands-on Coding,Yes
user_213,Neural Networks,8,6,None,MEDIUM,Peer Discussion,No
user_455,RNNs,9,7,Failed to normalize input data,LOW,Reading & Notes,No
user_277,Vector Search,5,4,Failed to normalize input data,LOW,Hands-on Coding,No
user_842,Word Embeddings,6,4,Confused convolutional filters,HIGH,Hands-on Coding,No
user_211,Word Embeddings,10,8,None,HIGH,Video,No
user_865,Neural Networks,5,5,Confused convolutional filters,HIGH,Reading & Notes,Yes
user_712,Diffusion Models,3,1,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,Yes
user_401,LLMs in Real-World Applications,9,7,None,MEDIUM,Reading & Notes,No
user_805,GANs,4,2,None,LOW,Video,No
user_480,Overfitting and Regularization,5,5,Misused dropout layers,MEDIUM,Video,No
user_582,Word Embeddings,4,3,None,LOW,Hands-on Coding,No
user_750,GANs,1,1,Misused dropout layers,MEDIUM,Hands-on Coding,No
user_336,Gradient Descent,8,6,Incorrect weight initialization,HIGH,Hands-on Coding,Yes
user_881,LLMs in Real-World Applications,1,1,None,MEDIUM,Peer Discussion,No
user_542,Few-shot Learning,1,1,Confused convolutional filters,HIGH,Peer Discussion,No
user_754,Vector Search,3,3,None,MEDIUM,Reading & Notes,No
user_443,Multi-modal Learning,2,1,None,HIGH,Video,No
user_689,Diffusion Models,7,5,Confused reinforcement learning reward shaping,MEDIUM,Reading & Notes,No
user_687,CNNs,6,5,Incorrect weight initialization,MEDIUM,Reading & Notes,No
user_405,GANs,6,5,Incorrect embedding interpretation,HIGH,Hands-on Coding,Yes
user_285,Multi-modal Learning,8,8,Incorrect weight initialization,LOW,Video,No
user_031,Backpropagation,4,3,Failed to normalize input data,LOW,Peer Discussion,No
user_522,Attention Mechanisms,5,3,None,LOW,Reading & Notes,No
user_018,Transformers,3,2,Misused dropout layers,MEDIUM,Reading & Notes,No
user_678,Reinforcement Learning,9,9,Incorrect embedding interpretation,HIGH,Reading & Notes,No
user_625,Self-supervised Learning,6,6,None,LOW,Reading & Notes,No
user_356,Diffusion Models,4,3,Confused convolutional filters,LOW,Peer Discussion,No
user_257,Self-supervised Learning,2,2,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_828,Attention Mechanisms,10,10,None,MEDIUM,Reading & Notes,No
user_965,CNNs,1,1,None,LOW,Peer Discussion,No
user_774,GANs,2,2,None,MEDIUM,Reading & Notes,No
user_829,Ethical AI,1,1,None,LOW,Video,No
user_990,RNNs,6,4,None,LOW,Reading & Notes,No
user_278,Explainability in AI,6,4,None,HIGH,Video,Yes
user_796,Attention Mechanisms,2,1,Misused dropout layers,MEDIUM,Reading & Notes,No
user_384,Self-supervised Learning,2,1,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_397,Reinforcement Learning,2,2,Incorrect embedding interpretation,MEDIUM,Video,No
user_321,Backpropagation,2,1,None,MEDIUM,Hands-on Coding,No
user_109,Overfitting and Regularization,6,5,Confused convolutional filters,HIGH,Hands-on Coding,No
user_376,GANs,1,1,Misused dropout layers,LOW,Video,No
user_278,Self-supervised Learning,10,10,None,MEDIUM,Peer Discussion,No
user_238,Neural Networks,7,6,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,No
user_700,Multi-modal Learning,5,3,Misclassified overfitting vs underfitting,LOW,Reading & Notes,No
user_789,Overfitting and Regularization,10,9,None,LOW,Hands-on Coding,No
user_039,Neural Networks,2,1,Misclassified overfitting vs underfitting,MEDIUM,Reading & Notes,No
user_830,Self-supervised Learning,9,7,Confused reinforcement learning reward shaping,LOW,Reading & Notes,No
user_487,Neural Networks,8,7,None,LOW,Reading & Notes,No
user_617,Zero-shot Learning,5,5,Misused dropout layers,HIGH,Reading & Notes,No
user_802,LLMs in Real-World Applications,7,6,Incorrect weight initialization,HIGH,Reading & Notes,Yes
user_671,Word Embeddings,9,8,Failed to normalize input data,HIGH,Peer Discussion,No
user_041,Vector Search,10,9,Misused activation function,LOW,Reading & Notes,No
user_337,Reinforcement Learning,4,4,None,MEDIUM,Peer Discussion,No
user_941,Gradient Descent,2,2,None,HIGH,Reading & Notes,Yes
user_652,Explainability in AI,9,8,Incorrect weight initialization,MEDIUM,Video,No
user_674,Ethical AI,8,8,Failed to normalize input data,LOW,Hands-on Coding,No
user_692,GANs,2,2,Failed to normalize input data,HIGH,Peer Discussion,Yes
user_071,Vector Search,9,9,Confused batch vs. stochastic gradient descent,LOW,Hands-on Coding,No
user_991,Attention Mechanisms,7,5,Failed to normalize input data,LOW,Hands-on Coding,No
user_555,Overfitting and Regularization,1,1,Misused activation function,LOW,Video,No
user_980,RNNs,2,1,None,LOW,Reading & Notes,No
user_502,Vector Search,4,2,Confused reinforcement learning reward shaping,LOW,Peer Discussion,No
user_273,Reinforcement Learning,3,3,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,No
user_087,Word Embeddings,5,5,Failed to normalize input data,MEDIUM,Video,No
user_171,Attention Mechanisms,7,7,None,MEDIUM,Peer Discussion,No
user_888,Reinforcement Learning,2,2,None,MEDIUM,Peer Discussion,No
user_236,Explainability in AI,10,8,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_672,Few-shot Learning,9,9,None,HIGH,Reading & Notes,No
user_986,Backpropagation,1,1,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_036,CNNs,4,2,None,LOW,Video,No
user_552,Attention Mechanisms,5,4,Misclassified overfitting vs underfitting,LOW,Reading & Notes,No
user_491,Zero-shot Learning,8,8,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_198,Diffusion Models,4,2,None,MEDIUM,Hands-on Coding,No
user_821,Self-supervised Learning,2,1,None,HIGH,Hands-on Coding,Yes
user_745,Neural Networks,5,3,None,LOW,Hands-on Coding,No
user_393,Autoencoders,10,9,None,MEDIUM,Reading & Notes,No
user_377,Ethical AI,10,8,Misused dropout layers,HIGH,Hands-on Coding,No
user_995,RNNs,9,7,None,HIGH,Hands-on Coding,Yes
user_669,LLMs in Real-World Applications,2,1,None,LOW,Hands-on Coding,No
user_744,GANs,3,2,Confused reinforcement learning reward shaping,LOW,Reading & Notes,No
user_115,Transformers,8,6,None,LOW,Reading & Notes,No
user_191,Gradient Descent,7,7,Misused dropout layers,HIGH,Reading & Notes,No
user_874,GANs,4,2,Confused convolutional filters,HIGH,Video,Yes
user_160,Optimization Techniques,6,4,None,HIGH,Video,No
user_329,Overfitting and Regularization,3,2,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_313,Reinforcement Learning,10,8,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_796,LLMs in Real-World Applications,9,7,None,HIGH,Peer Discussion,No
user_769,Overfitting and Regularization,7,5,Confused convolutional filters,LOW,Reading & Notes,No
user_594,Autoencoders,1,1,None,LOW,Video,No
user_189,CNNs,6,5,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_606,Reinforcement Learning,7,7,None,MEDIUM,Reading & Notes,No
user_920,GANs,8,6,None,HIGH,Peer Discussion,Yes
user_660,Zero-shot Learning,7,7,Failed to normalize input data,HIGH,Peer Discussion,Yes
user_829,Zero-shot Learning,1,1,Incorrect embedding interpretation,MEDIUM,Peer Discussion,No
user_836,RNNs,4,4,Incorrect embedding interpretation,HIGH,Peer Discussion,No
user_928,CNNs,8,7,Confused convolutional filters,HIGH,Reading & Notes,No
user_083,Autoencoders,3,3,Misused dropout layers,MEDIUM,Hands-on Coding,No
user_543,Zero-shot Learning,5,5,Misclassified overfitting vs underfitting,LOW,Reading & Notes,No
user_322,Attention Mechanisms,10,9,Misclassified overfitting vs underfitting,MEDIUM,Reading & Notes,No
user_151,RNNs,1,1,None,LOW,Video,No
user_010,Gradient Descent,4,2,Confused reinforcement learning reward shaping,MEDIUM,Video,No
user_511,Reinforcement Learning,3,3,None,MEDIUM,Peer Discussion,No
user_706,Attention Mechanisms,4,3,Misused dropout layers,LOW,Video,No
user_641,Zero-shot Learning,3,3,Misused dropout layers,MEDIUM,Video,No
user_122,Transformers,9,8,Misused activation function,MEDIUM,Reading & Notes,No
user_179,CNNs,5,5,Misclassified overfitting vs underfitting,HIGH,Video,Yes
user_740,GANs,3,3,None,LOW,Peer Discussion,No
user_533,Word Embeddings,9,9,Misused dropout layers,MEDIUM,Peer Discussion,No
user_239,CNNs,5,3,None,MEDIUM,Reading & Notes,No
user_898,Self-supervised Learning,2,1,None,LOW,Peer Discussion,No
user_964,Overfitting and Regularization,1,1,None,MEDIUM,Hands-on Coding,No
user_874,CNNs,2,2,None,MEDIUM,Peer Discussion,No
user_752,Ethical AI,7,7,None,HIGH,Video,Yes
user_950,Vector Search,8,6,None,HIGH,Hands-on Coding,Yes
user_901,Autoencoders,2,2,None,MEDIUM,Reading & Notes,No
user_953,GANs,1,1,None,HIGH,Hands-on Coding,No
user_446,Backpropagation,2,1,Misused dropout layers,MEDIUM,Peer Discussion,No
user_207,GANs,1,1,Incorrect embedding interpretation,HIGH,Peer Discussion,No
user_122,Explainability in AI,8,8,None,HIGH,Peer Discussion,No
user_573,Vector Search,6,4,Incorrect weight initialization,LOW,Peer Discussion,No
user_542,Overfitting and Regularization,5,5,Misclassified overfitting vs underfitting,MEDIUM,Video,No
user_634,Self-supervised Learning,4,3,Misclassified overfitting vs underfitting,LOW,Video,No
user_060,Backpropagation,5,3,None,HIGH,Video,Yes
user_893,Vector Search,7,5,Confused batch vs. stochastic gradient descent,MEDIUM,Video,No
user_132,Transformers,6,4,None,MEDIUM,Peer Discussion,No
user_753,Gradient Descent,4,2,Confused batch vs. stochastic gradient descent,MEDIUM,Peer Discussion,No
user_958,Self-supervised Learning,4,2,None,LOW,Peer Discussion,No
user_009,Zero-shot Learning,10,9,None,HIGH,Video,No
user_327,RNNs,2,1,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_069,Neural Networks,3,2,Failed to normalize input data,LOW,Reading & Notes,No
user_984,Word Embeddings,2,1,None,MEDIUM,Peer Discussion,No
user_314,GANs,2,1,None,MEDIUM,Hands-on Coding,No
user_799,Overfitting and Regularization,1,1,None,HIGH,Peer Discussion,No
user_417,Overfitting and Regularization,3,1,None,HIGH,Video,Yes
user_449,Backpropagation,2,2,Misclassified overfitting vs underfitting,LOW,Hands-on Coding,No
user_784,Explainability in AI,9,7,Confused reinforcement learning reward shaping,MEDIUM,Reading & Notes,No
user_277,Diffusion Models,6,4,None,HIGH,Peer Discussion,No
user_307,Backpropagation,1,1,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_807,Word Embeddings,8,7,None,MEDIUM,Hands-on Coding,No
user_396,LLMs in Real-World Applications,7,7,Misunderstood positional encoding in transformers,MEDIUM,Reading & Notes,No
user_788,Word Embeddings,5,3,None,LOW,Hands-on Coding,No
user_251,Overfitting and Regularization,1,1,None,HIGH,Hands-on Coding,No
user_914,Overfitting and Regularization,4,3,Confused reinforcement learning reward shaping,HIGH,Hands-on Coding,No
user_166,CNNs,7,5,None,MEDIUM,Video,No
user_160,Neural Networks,3,3,None,LOW,Reading & Notes,No
user_163,Overfitting and Regularization,10,9,Incorrect embedding interpretation,HIGH,Peer Discussion,Yes
user_694,Transformers,3,3,Confused convolutional filters,LOW,Hands-on Coding,No
user_932,Explainability in AI,10,8,None,LOW,Video,No
user_368,Vector Search,8,7,None,MEDIUM,Reading & Notes,No
user_396,Word Embeddings,7,7,Confused batch vs. stochastic gradient descent,MEDIUM,Video,No
user_475,Ethical AI,9,9,None,MEDIUM,Hands-on Coding,No
user_783,Diffusion Models,10,10,None,LOW,Peer Discussion,No
user_852,RNNs,3,1,Misclassified overfitting vs underfitting,HIGH,Reading & Notes,No
user_877,Few-shot Learning,9,7,Misunderstood positional encoding in transformers,MEDIUM,Video,No
user_792,Diffusion Models,3,2,None,MEDIUM,Peer Discussion,No
user_825,Few-shot Learning,3,1,None,MEDIUM,Reading & Notes,No
user_138,Autoencoders,5,3,None,HIGH,Hands-on Coding,No
user_051,Vector Search,5,4,Misunderstood positional encoding in transformers,MEDIUM,Video,No
user_818,Zero-shot Learning,7,7,None,HIGH,Peer Discussion,Yes
user_387,CNNs,9,9,Failed to normalize input data,LOW,Hands-on Coding,No
user_760,Backpropagation,5,5,None,HIGH,Peer Discussion,No
user_897,Optimization Techniques,6,4,Confused batch vs. stochastic gradient descent,HIGH,Peer Discussion,Yes
user_081,Diffusion Models,7,6,None,LOW,Hands-on Coding,No
user_234,Vector Search,9,8,None,LOW,Video,No
user_057,RNNs,8,7,Failed to normalize input data,MEDIUM,Video,No
user_229,Backpropagation,6,6,Confused reinforcement learning reward shaping,LOW,Peer Discussion,No
user_772,Reinforcement Learning,10,10,Confused batch vs. stochastic gradient descent,HIGH,Peer Discussion,No
user_604,Backpropagation,10,8,None,MEDIUM,Hands-on Coding,No
user_103,Vector Search,4,4,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_674,Attention Mechanisms,10,9,None,MEDIUM,Reading & Notes,No
user_550,Reinforcement Learning,4,3,None,HIGH,Video,Yes
user_294,Overfitting and Regularization,10,9,None,MEDIUM,Hands-on Coding,No
user_467,Attention Mechanisms,5,5,None,MEDIUM,Reading & Notes,No
user_962,Neural Networks,1,1,None,LOW,Peer Discussion,No
user_364,Self-supervised Learning,6,4,Misunderstood positional encoding in transformers,MEDIUM,Hands-on Coding,No
user_702,LLMs in Real-World Applications,6,4,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_513,Few-shot Learning,7,5,None,MEDIUM,Reading & Notes,No
user_505,Autoencoders,10,8,Misunderstood positional encoding in transformers,HIGH,Reading & Notes,Yes
user_673,LLMs in Real-World Applications,1,1,None,MEDIUM,Reading & Notes,No
user_421,Reinforcement Learning,4,2,None,MEDIUM,Hands-on Coding,No
user_167,Neural Networks,10,9,Confused batch vs. stochastic gradient descent,MEDIUM,Hands-on Coding,No
user_670,Multi-modal Learning,5,5,None,MEDIUM,Reading & Notes,No
user_380,Backpropagation,3,2,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_033,Optimization Techniques,7,7,None,MEDIUM,Hands-on Coding,No
user_589,Autoencoders,7,6,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_503,Vector Search,10,9,Misused activation function,LOW,Peer Discussion,No
user_896,LLMs in Real-World Applications,3,2,Incorrect weight initialization,MEDIUM,Reading & Notes,No
user_958,Attention Mechanisms,2,2,Confused reinforcement learning reward shaping,LOW,Reading & Notes,No
user_179,Vector Search,9,8,Failed to normalize input data,LOW,Hands-on Coding,No
user_256,Transformers,3,3,None,MEDIUM,Hands-on Coding,No
user_386,Autoencoders,1,1,Misused dropout layers,HIGH,Reading & Notes,Yes
user_141,Self-supervised Learning,6,5,None,HIGH,Reading & Notes,Yes
user_776,Backpropagation,9,9,Incorrect weight initialization,LOW,Hands-on Coding,No
user_791,Self-supervised Learning,10,10,None,HIGH,Peer Discussion,No
user_371,Overfitting and Regularization,6,6,None,HIGH,Reading & Notes,No
user_309,CNNs,2,1,Incorrect weight initialization,MEDIUM,Hands-on Coding,No
user_711,Word Embeddings,3,1,Incorrect embedding interpretation,LOW,Reading & Notes,No
user_820,Word Embeddings,2,2,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_421,Explainability in AI,2,1,None,MEDIUM,Video,No
user_279,CNNs,1,1,Misclassified overfitting vs underfitting,LOW,Video,No
user_907,Zero-shot Learning,9,7,Confused reinforcement learning reward shaping,HIGH,Hands-on Coding,Yes
user_491,Ethical AI,1,1,None,HIGH,Peer Discussion,Yes
user_869,Zero-shot Learning,5,5,Confused reinforcement learning reward shaping,LOW,Peer Discussion,No
user_418,Attention Mechanisms,4,4,Misused dropout layers,MEDIUM,Peer Discussion,No
user_703,Zero-shot Learning,8,8,Incorrect weight initialization,LOW,Peer Discussion,No
user_423,Explainability in AI,8,6,Misused dropout layers,LOW,Peer Discussion,No
user_958,Transformers,6,5,Incorrect weight initialization,LOW,Peer Discussion,No
user_121,Optimization Techniques,9,9,Failed to normalize input data,LOW,Reading & Notes,No
user_603,Self-supervised Learning,10,9,None,HIGH,Reading & Notes,No
user_298,Autoencoders,8,7,Misused dropout layers,HIGH,Hands-on Coding,No
user_017,Gradient Descent,1,1,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,Yes
user_958,Backpropagation,8,6,Incorrect embedding interpretation,MEDIUM,Video,No
user_508,Word Embeddings,3,1,Misclassified overfitting vs underfitting,LOW,Peer Discussion,No
user_550,GANs,5,4,Misused dropout layers,HIGH,Peer Discussion,No
user_040,RNNs,10,10,None,HIGH,Peer Discussion,Yes
user_072,Attention Mechanisms,9,8,Confused batch vs. stochastic gradient descent,LOW,Reading & Notes,No
user_693,Backpropagation,7,6,Misused activation function,MEDIUM,Peer Discussion,No
user_136,Optimization Techniques,9,9,Failed to normalize input data,HIGH,Peer Discussion,Yes
user_588,GANs,10,9,None,HIGH,Peer Discussion,No
user_724,Reinforcement Learning,1,1,None,HIGH,Video,No
user_278,Diffusion Models,4,3,None,LOW,Reading & Notes,No
user_832,Autoencoders,1,1,Confused batch vs. stochastic gradient descent,LOW,Hands-on Coding,No
user_220,Zero-shot Learning,9,8,Incorrect weight initialization,MEDIUM,Video,No
user_278,Self-supervised Learning,4,2,None,MEDIUM,Reading & Notes,No
user_901,Gradient Descent,9,8,Incorrect weight initialization,MEDIUM,Hands-on Coding,No
user_981,Ethical AI,7,7,Misunderstood positional encoding in transformers,HIGH,Reading & Notes,No
user_596,Explainability in AI,8,8,Confused convolutional filters,HIGH,Reading & Notes,Yes
user_017,CNNs,10,8,Failed to normalize input data,HIGH,Peer Discussion,Yes
user_405,Gradient Descent,9,7,None,MEDIUM,Peer Discussion,No
user_464,Overfitting and Regularization,6,6,Confused batch vs. stochastic gradient descent,HIGH,Reading & Notes,Yes
user_420,Attention Mechanisms,4,2,Misused activation function,LOW,Video,No
user_899,Few-shot Learning,2,1,Confused batch vs. stochastic gradient descent,HIGH,Video,Yes
user_135,Vector Search,8,6,Misclassified overfitting vs underfitting,MEDIUM,Hands-on Coding,No
user_835,Attention Mechanisms,9,9,None,HIGH,Hands-on Coding,Yes
user_778,Reinforcement Learning,7,5,Misused dropout layers,MEDIUM,Hands-on Coding,No
user_665,Attention Mechanisms,7,6,None,MEDIUM,Peer Discussion,No
user_568,Vector Search,7,5,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_990,Vector Search,10,10,None,LOW,Video,No
user_438,CNNs,2,1,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_580,Self-supervised Learning,5,4,None,HIGH,Video,Yes
user_502,Zero-shot Learning,8,7,Confused batch vs. stochastic gradient descent,LOW,Reading & Notes,No
user_071,LLMs in Real-World Applications,7,5,Incorrect weight initialization,HIGH,Video,No
user_320,Few-shot Learning,4,4,Failed to normalize input data,LOW,Video,No
user_712,Attention Mechanisms,3,1,Incorrect embedding interpretation,MEDIUM,Video,No
user_879,GANs,7,6,None,LOW,Video,No
user_067,Autoencoders,8,8,Confused batch vs. stochastic gradient descent,HIGH,Peer Discussion,Yes
user_841,Attention Mechanisms,10,9,Confused batch vs. stochastic gradient descent,MEDIUM,Hands-on Coding,No
user_482,Self-supervised Learning,2,1,None,LOW,Hands-on Coding,No
user_228,Gradient Descent,9,7,Confused convolutional filters,LOW,Video,No
user_897,RNNs,2,1,None,HIGH,Video,No
user_967,Optimization Techniques,6,6,None,MEDIUM,Peer Discussion,No
user_667,Few-shot Learning,1,1,None,LOW,Reading & Notes,No
user_407,RNNs,3,2,Incorrect weight initialization,LOW,Video,No
user_919,Zero-shot Learning,2,1,Failed to normalize input data,LOW,Reading & Notes,No
user_555,Autoencoders,10,9,Confused batch vs. stochastic gradient descent,LOW,Peer Discussion,No
user_558,Diffusion Models,1,1,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_455,GANs,3,1,None,LOW,Video,No
user_275,Word Embeddings,3,3,Incorrect embedding interpretation,LOW,Reading & Notes,No
user_540,RNNs,4,3,Confused batch vs. stochastic gradient descent,MEDIUM,Peer Discussion,No
user_209,Reinforcement Learning,6,4,None,LOW,Hands-on Coding,No
user_625,Self-supervised Learning,1,1,Incorrect embedding interpretation,HIGH,Video,Yes
user_660,Ethical AI,3,2,Incorrect weight initialization,MEDIUM,Video,No
user_998,Ethical AI,5,3,None,HIGH,Video,No
user_882,Zero-shot Learning,9,7,None,MEDIUM,Video,No
user_675,Autoencoders,5,5,None,LOW,Peer Discussion,No
user_332,Multi-modal Learning,6,4,None,MEDIUM,Hands-on Coding,No
user_433,Ethical AI,3,3,Misunderstood positional encoding in transformers,LOW,Hands-on Coding,No
user_041,Zero-shot Learning,1,1,Misused activation function,MEDIUM,Video,No
user_300,Diffusion Models,10,10,Misclassified overfitting vs underfitting,MEDIUM,Peer Discussion,No
user_285,Explainability in AI,5,4,Misclassified overfitting vs underfitting,LOW,Video,No
user_279,Few-shot Learning,6,6,Failed to normalize input data,LOW,Peer Discussion,No
user_721,Backpropagation,2,1,None,HIGH,Video,Yes
user_862,Diffusion Models,3,1,Confused reinforcement learning reward shaping,LOW,Video,No
user_873,Self-supervised Learning,3,3,Failed to normalize input data,MEDIUM,Video,No
user_471,Attention Mechanisms,6,5,None,HIGH,Reading & Notes,Yes
user_469,Explainability in AI,10,8,None,LOW,Peer Discussion,No
user_752,Zero-shot Learning,5,4,None,LOW,Hands-on Coding,No
user_940,Diffusion Models,4,2,Misunderstood positional encoding in transformers,LOW,Video,No
user_694,Zero-shot Learning,5,3,None,MEDIUM,Peer Discussion,No
user_464,Neural Networks,2,1,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_336,Optimization Techniques,1,1,None,MEDIUM,Peer Discussion,No
user_544,Ethical AI,7,6,Confused reinforcement learning reward shaping,HIGH,Hands-on Coding,Yes
user_803,Word Embeddings,8,7,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,Yes
user_884,Few-shot Learning,8,7,Misunderstood positional encoding in transformers,LOW,Hands-on Coding,No
user_771,Autoencoders,8,7,Incorrect weight initialization,HIGH,Video,No
user_512,Overfitting and Regularization,3,2,None,MEDIUM,Reading & Notes,No
user_584,Vector Search,1,1,Incorrect embedding interpretation,MEDIUM,Peer Discussion,No
user_006,Multi-modal Learning,2,1,Incorrect weight initialization,LOW,Peer Discussion,No
user_759,Autoencoders,3,1,None,HIGH,Hands-on Coding,Yes
user_400,CNNs,5,3,None,HIGH,Reading & Notes,No
user_741,RNNs,2,2,None,HIGH,Hands-on Coding,No
user_567,Gradient Descent,3,2,Misused dropout layers,MEDIUM,Reading & Notes,No
user_481,Few-shot Learning,3,2,None,LOW,Peer Discussion,No
user_439,Optimization Techniques,4,2,None,LOW,Video,No
user_907,RNNs,3,1,Confused reinforcement learning reward shaping,LOW,Reading & Notes,No
user_812,Diffusion Models,9,7,Incorrect weight initialization,HIGH,Reading & Notes,Yes
user_960,Self-supervised Learning,5,3,None,LOW,Video,No
user_054,Explainability in AI,10,10,Confused convolutional filters,LOW,Video,No
user_831,Backpropagation,4,3,Confused convolutional filters,LOW,Hands-on Coding,No
user_071,Word Embeddings,4,4,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_585,Overfitting and Regularization,3,2,Misused activation function,MEDIUM,Peer Discussion,No
user_477,Vector Search,3,1,None,MEDIUM,Reading & Notes,No
user_390,Word Embeddings,7,6,None,LOW,Reading & Notes,No
user_232,RNNs,4,3,Misused activation function,LOW,Reading & Notes,No
user_662,Explainability in AI,7,5,Misused dropout layers,HIGH,Reading & Notes,No
user_796,Diffusion Models,9,9,Failed to normalize input data,MEDIUM,Peer Discussion,No
user_117,Transformers,7,6,None,MEDIUM,Hands-on Coding,No
user_157,Ethical AI,10,8,Misused dropout layers,HIGH,Peer Discussion,No
user_665,Transformers,8,7,None,HIGH,Reading & Notes,Yes
user_761,Autoencoders,8,7,None,MEDIUM,Hands-on Coding,No
user_009,Optimization Techniques,8,7,Confused batch vs. stochastic gradient descent,LOW,Reading & Notes,No
user_396,Neural Networks,4,2,Misused dropout layers,LOW,Hands-on Coding,No
